p,p+2,last_digit_category,2p-9_is_prime,2p-5_is_prime,2p-3_is_prime,2p+1_is_prime,2p+3_is_prime,2p+7_is_prime,2p+9_is_prime,2p-9_prime_value,2p-5_prime_value,2p-3_prime_value,2p+1_prime_value,2p+3_prime_value,2p+7_prime_value,2p+9_prime_value,success_count,,
3,5,"(3,5)",FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,,,3,7,,13,,3,,
5,7,"(5,7)",FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,,5,7,11,13,17,19,6,,
11,13,"(1,3)",TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,13,17,19,23,,29,31,6,,
17,19,"(7,9)",FALSE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,,29,31,,37,41,43,5,,
29,31,"(9,1)",FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE,,53,,59,61,,67,4,,
41,43,"(1,3)",TRUE,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,73,,79,83,,89,,4,,
59,61,"(9,1)",TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,109,113,,,,,127,3,,
71,73,"(1,3)",FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,,137,139,,,149,151,4,,
101,103,"(1,3)",TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,193,197,199,,,,211,4,,
107,109,"(7,9)",FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,,,211,,,,223,2,,
137,139,"(7,9)",FALSE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,,269,271,,277,281,283,5,,
149,151,"(9,1)",FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,,293,,,,,307,2,,
179,181,"(9,1)",TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,349,353,,359,,,367,4,,
191,193,"(1,3)",TRUE,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,373,,379,383,,389,,4,,
197,199,"(7,9)",FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,,389,,,397,401,,3,,
227,229,"(7,9)",FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,,449,,,457,461,463,4,,
239,241,"(9,1)",FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,,,,479,,,487,2,,
269,271,"(9,1)",FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,,,,,541,,547,2,,
281,283,"(1,3)",FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,,557,,563,,569,571,4,,
311,313,"(1,3)",TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,613,617,619,,,,631,4,,
347,349,"(7,9)",FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,,,691,,,701,,2,,
419,421,"(9,1)",TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,829,,,839,,,,2,,
431,433,"(1,3)",TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,853,857,859,863,,,,4,,
461,463,"(1,3)",FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,,,919,,,929,,2,,
521,523,"(1,3)",TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,1033,,1039,,,1049,1051,4,,
569,571,"(9,1)",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,1129,,,,,,,1,,
599,601,"(9,1)",FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,,1193,,,1201,,,2,,
617,619,"(7,9)",FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,,1229,1231,,1237,,,3,,
641,643,"(1,3)",FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,,1277,1279,1283,,1289,1291,5,,
659,661,"(9,1)",FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,,,,1319,1321,,1327,3,,
809,811,"(9,1)",TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE,1609,1613,,1619,1621,,1627,5,,
821,823,"(1,3)",FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,,1637,,,,,,1,,
827,829,"(7,9)",FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,,,,,1657,,1663,2,,
857,859,"(7,9)",FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,,1709,,,,1721,1723,3,,
881,883,"(1,3)",TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,1753,,1759,,,,,2,,
