p,p+2,last_digit_category,2p-9_is_prime,2p-7_is_prime,2p-5_is_prime,2p-3_is_prime,2p-1_is_prime,2p+1_is_prime,2p+3_is_prime,2p+5_is_prime,2p+7_is_prime,2p+9_is_prime,2p-9_prime_value,2p-7_prime_value,2p-5_prime_value,2p-3_prime_value,2p-1_prime_value,2p+1_prime_value,2p+3_prime_value,2p+5_prime_value,2p+7_prime_value,2p+9_prime_value
3,5,"(3,5)",False,False,False,True,True,True,False,True,True,False,,,,3,5,7,,11,13,
5,7,"(5,7)",False,True,True,True,False,True,True,False,True,True,,3,5,7,,11,13,,17,19
11,13,"(1,3)",True,False,True,True,False,True,False,False,True,True,13,,17,19,,23,,,29,31
17,19,"(7,9)",False,False,True,True,False,False,True,False,True,True,,,29,31,,,37,,41,43
29,31,"(9,1)",False,False,True,False,False,True,True,False,False,True,,,53,,,59,61,,,67
41,43,"(1,3)",True,False,False,True,False,True,False,False,True,False,73,,,79,,83,,,89,
59,61,"(9,1)",True,False,True,False,False,False,False,False,False,True,109,,113,,,,,,,127
71,73,"(1,3)",False,False,True,True,False,False,False,False,True,True,,,137,139,,,,,149,151
101,103,"(1,3)",True,False,True,True,False,False,False,False,False,True,193,,197,199,,,,,,211
107,109,"(7,9)",False,False,False,True,False,False,False,False,False,True,,,,211,,,,,,223
137,139,"(7,9)",False,False,True,True,False,False,True,False,True,True,,,269,271,,,277,,281,283
149,151,"(9,1)",False,False,True,False,False,False,False,False,False,True,,,293,,,,,,,307
179,181,"(9,1)",True,False,True,False,False,True,False,False,False,True,349,,353,,,359,,,,367
191,193,"(1,3)",True,False,False,True,False,True,False,False,True,False,373,,,379,,383,,,389,
197,199,"(7,9)",False,False,True,False,False,False,True,False,True,False,,,389,,,,397,,401,
227,229,"(7,9)",False,False,True,False,False,False,True,False,True,True,,,449,,,,457,,461,463
239,241,"(9,1)",False,False,False,False,False,True,False,False,False,True,,,,,,479,,,,487
269,271,"(9,1)",False,False,False,False,False,False,True,False,False,True,,,,,,,541,,,547
281,283,"(1,3)",False,False,True,False,False,True,False,False,True,True,,,557,,,563,,,569,571
311,313,"(1,3)",True,False,True,True,False,False,False,False,False,True,613,,617,619,,,,,,631
347,349,"(7,9)",False,False,False,True,False,False,False,False,True,False,,,,691,,,,,701,
419,421,"(9,1)",True,False,False,False,False,True,False,False,False,False,829,,,,,839,,,,
431,433,"(1,3)",True,False,True,True,False,True,False,False,False,False,853,,857,859,,863,,,,
461,463,"(1,3)",False,False,False,True,False,False,False,False,True,False,,,,919,,,,,929,
521,523,"(1,3)",True,False,False,True,False,False,False,False,True,True,1033,,,1039,,,,,1049,1051
569,571,"(9,1)",True,False,False,False,False,False,False,False,False,False,1129,,,,,,,,,
599,601,"(9,1)",False,False,True,False,False,False,True,False,False,False,,,1193,,,,1201,,,
617,619,"(7,9)",False,False,True,True,False,False,True,False,False,False,,,1229,1231,,,1237,,,
641,643,"(1,3)",False,False,True,True,False,True,False,False,True,True,,,1277,1279,,1283,,,1289,1291
659,661,"(9,1)",False,False,False,False,False,True,True,False,False,True,,,,,,1319,1321,,,1327
809,811,"(9,1)",True,False,True,False,False,True,True,False,False,True,1609,,1613,,,1619,1621,,,1627
821,823,"(1,3)",False,False,True,False,False,False,False,False,False,False,,,1637,,,,,,,
827,829,"(7,9)",False,False,False,False,False,False,True,False,False,True,,,,,,,1657,,,1663
857,859,"(7,9)",False,False,True,False,False,False,False,False,True,True,,,1709,,,,,,1721,1723
881,883,"(1,3)",True,False,False,True,False,False,False,False,False,False,1753,,,1759,,,,,,
1019,1021,"(9,1)",True,False,False,False,False,True,False,False,False,False,2029,,,,,2039,,,,
1031,1033,"(1,3)",True,False,False,False,False,True,False,False,True,False,2053,,,,,2063,,,2069,
1049,1051,"(9,1)",True,False,False,False,False,True,False,False,False,False,2089,,,,,2099,,,,
1061,1063,"(1,3)",True,False,False,False,False,False,False,False,True,True,2113,,,,,,,,2129,2131
1091,1093,"(1,3)",False,False,False,True,False,False,False,False,False,False,,,,2179,,,,,,
1151,1153,"(1,3)",True,False,True,False,False,False,False,False,True,True,2293,,2297,,,,,,2309,2311
1229,1231,"(9,1)",False,False,False,False,False,True,False,False,False,True,,,,,,2459,,,,2467
1277,1279,"(7,9)",False,False,True,True,False,False,True,False,False,False,,,2549,2551,,,2557,,,
1289,1291,"(9,1)",False,False,False,False,False,True,False,False,False,False,,,,,,2579,,,,
1301,1303,"(1,3)",True,False,False,False,False,False,False,False,True,False,2593,,,,,,,,2609,
1319,1321,"(9,1)",False,False,True,False,False,False,False,False,False,True,,,2633,,,,,,,2647
1427,1429,"(7,9)",False,False,False,True,False,False,True,False,True,False,,,,2851,,,2857,,2861,
1451,1453,"(1,3)",False,False,True,False,False,True,False,False,True,False,,,2897,,,2903,,,2909,
1481,1483,"(1,3)",True,False,True,False,False,True,False,False,True,True,2953,,2957,,,2963,,,2969,2971
1487,1489,"(7,9)",False,False,True,True,False,False,False,False,False,False,,,2969,2971,,,,,,
1607,1609,"(7,9)",False,False,True,False,False,False,True,False,True,False,,,3209,,,,3217,,3221,
1619,1621,"(9,1)",True,False,False,False,False,False,False,False,False,False,3229,,,,,,,,,
1667,1669,"(7,9)",False,False,True,True,False,False,False,False,False,True,,,3329,3331,,,,,,3343
1697,1699,"(7,9)",False,False,True,True,False,False,False,False,False,False,,,3389,3391,,,,,,
1721,1723,"(1,3)",True,False,False,False,False,False,False,False,True,False,3433,,,,,,,,3449,
1787,1789,"(7,9)",False,False,False,True,False,False,False,False,True,True,,,,3571,,,,,3581,3583
1871,1873,"(1,3)",True,False,False,True,False,False,False,False,False,False,3733,,,3739,,,,,,
1877,1879,"(7,9)",False,False,False,False,False,False,False,False,True,False,,,,,,,,,3761,
1931,1933,"(1,3)",True,False,False,False,False,True,False,False,False,False,3853,,,,,3863,,,,
1949,1951,"(9,1)",True,False,False,False,False,False,False,False,False,True,3889,,,,,,,,,3907
1997,1999,"(7,9)",False,False,True,False,False,False,False,False,True,True,,,3989,,,,,,4001,4003
2027,2029,"(7,9)",False,False,True,True,False,False,True,False,False,False,,,4049,4051,,,4057,,,
2081,2083,"(1,3)",True,False,True,True,False,False,False,False,False,False,4153,,4157,4159,,,,,,
2087,2089,"(7,9)",False,False,False,False,False,False,True,False,False,False,,,,,,,4177,,,
2111,2113,"(1,3)",False,False,True,True,False,False,False,False,True,True,,,4217,4219,,,,,4229,4231
2129,2131,"(9,1)",False,False,True,False,False,True,True,False,False,False,,,4253,,,4259,4261,,,
2141,2143,"(1,3)",True,False,False,False,False,True,False,False,True,False,4273,,,,,4283,,,4289,
2237,2239,"(7,9)",False,False,False,False,False,False,False,False,True,True,,,,,,,,,4481,4483
2267,2269,"(7,9)",False,False,False,False,False,False,False,False,False,False,,,,,,,,,,
