p,p+2,p_mod_30,p+2_mod_30,q1,q1_is_prime,q2,q2_is_prime,q3,q3_is_prime,q4,q4_is_prime
3,5,3,5,7,True,13,True,3,True,9,False
5,7,5,7,11,True,17,True,7,True,13,True
11,13,11,13,23,True,29,True,19,True,25,False
17,19,17,19,35,False,41,True,31,True,37,True
29,31,29,1,59,True,65,False,55,False,61,True
41,43,11,13,83,True,89,True,79,True,85,False
59,61,29,1,119,False,125,False,115,False,121,False
71,73,11,13,143,False,149,True,139,True,145,False
101,103,11,13,203,False,209,False,199,True,205,False
107,109,17,19,215,False,221,False,211,True,217,False
137,139,17,19,275,False,281,True,271,True,277,True
149,151,29,1,299,False,305,False,295,False,301,False
179,181,29,1,359,True,365,False,355,False,361,False
191,193,11,13,383,True,389,True,379,True,385,False
197,199,17,19,395,False,401,True,391,False,397,True
227,229,17,19,455,False,461,True,451,False,457,True
239,241,29,1,479,True,485,False,475,False,481,False
269,271,29,1,539,False,545,False,535,False,541,True
281,283,11,13,563,True,569,True,559,False,565,False
311,313,11,13,623,False,629,False,619,True,625,False
347,349,17,19,695,False,701,True,691,True,697,False
419,421,29,1,839,True,845,False,835,False,841,False
431,433,11,13,863,True,869,False,859,True,865,False
461,463,11,13,923,False,929,True,919,True,925,False
521,523,11,13,1043,False,1049,True,1039,True,1045,False
569,571,29,1,1139,False,1145,False,1135,False,1141,False
599,601,29,1,1199,False,1205,False,1195,False,1201,True
617,619,17,19,1235,False,1241,False,1231,True,1237,True
641,643,11,13,1283,True,1289,True,1279,True,1285,False
659,661,29,1,1319,True,1325,False,1315,False,1321,True
809,811,29,1,1619,True,1625,False,1615,False,1621,True
821,823,11,13,1643,False,1649,False,1639,False,1645,False
827,829,17,19,1655,False,1661,False,1651,False,1657,True
857,859,17,19,1715,False,1721,True,1711,False,1717,False
881,883,11,13,1763,False,1769,False,1759,True,1765,False
1019,1021,29,1,2039,True,2045,False,2035,False,2041,False
1031,1033,11,13,2063,True,2069,True,2059,False,2065,False
1049,1051,29,1,2099,True,2105,False,2095,False,2101,False
1061,1063,11,13,2123,False,2129,True,2119,False,2125,False
1091,1093,11,13,2183,False,2189,False,2179,True,2185,False
1151,1153,11,13,2303,False,2309,True,2299,False,2305,False
1229,1231,29,1,2459,True,2465,False,2455,False,2461,False
1277,1279,17,19,2555,False,2561,False,2551,True,2557,True
1289,1291,29,1,2579,True,2585,False,2575,False,2581,False
1301,1303,11,13,2603,False,2609,True,2599,False,2605,False
1319,1321,29,1,2639,False,2645,False,2635,False,2641,False
1427,1429,17,19,2855,False,2861,True,2851,True,2857,True
1451,1453,11,13,2903,True,2909,True,2899,False,2905,False
1481,1483,11,13,2963,True,2969,True,2959,False,2965,False
1487,1489,17,19,2975,False,2981,False,2971,True,2977,False
1607,1609,17,19,3215,False,3221,True,3211,False,3217,True
1619,1621,29,1,3239,False,3245,False,3235,False,3241,False
